canonical_key,tuik_category,sector,product_key,store,relative_compare
carmex lip balm fresh cherry spf15+ 10 gr,13,cosmetics,Carmex Lip Balm Fresh Cherry Spf15+ 10 gr,Dermomarket,0.0
carmex lip balm fresh cherry spf15+ 4.25 gr,13,cosmetics,Carmex Lip Balm Fresh Cherry Spf15+ 4.25 gr,Dermomarket,0.0
carmex lip balm stick fresh cherry spf15+ 10 gr,13,cosmetics,Carmex Lip Balm Stick Fresh Cherry Spf15+ 10 gr,Dermomarket,0.0
carmex lip balm stick strawberry spf15+ 10 gr,13,cosmetics,Carmex Lip Balm Stick Strawberry Spf15+ 10 gr,Dermomarket,0.0
carminella deodorant 150 ml,01,market,Carminella Deodorant 150 ml,Hapeloglu,0.0
carpi deri vinil koruyucu parlatici 200 ml new,01,market,Carpi Deri Vinil Koruyucu Parlatıcı 200 Ml New,Hapeloglu,0.0
carpi jant leke temizleyici sivi pump 500 ml,01,market,Carpi Jant Leke Temizleyici Sıvı Pump 500 Ml,Hapeloglu,0.0
carpi koku ahsap ayna dekoratif b.saphi 10 ml,01,market,Carpi Koku Ahşap Ayna Dekoratif B.Saphi 10 Ml,Hapeloglu,0.0
carpi koku ahsap ayna dekoratif okyanus 10 ml,01,market,Carpi Koku Ahşap Ayna Dekoratif Okyanus 10 Ml,Hapeloglu,0.0
carpi koku ahsap ayna dekoratif sakiz 10 ml,01,market,Carpi Koku Ahşap Ayna Dekoratif Sakız 10 Ml,Hapeloglu,0.0
carpi koku ahsap ayna dekoratif w.cotto 10 ml,01,market,Carpi Koku Ahşap Ayna Dekoratif W.Cotto 10 Ml,Hapeloglu,0.0
carpi koltuk kumas temizleyici sivi pump 500 ml,01,market,Carpi Koltuk Kumaş Temizleyici Sıvı Pump 500 Ml,Hapeloglu,0.0
carpi lastik parlatici jel sungerli 500 ml new,01,market,Carpi Lastik Parlatıcı Jel Süngerli 500 Ml New,Hapeloglu,0.0
carpi mikrofiber eko oto yikama eldiveni,01,market,Carpi Mikrofiber Eko Oto Yıkama Eldiveni,Hapeloglu,0.0
carpi motor temizleyici yag sokucu sivi pump 500 ml,01,market,Carpi Motor Temizleyici Yağ Sökücü Sıvı Pump 500 Ml,Hapeloglu,0.0
cars baskili kapusonlu sweatshirt,03,clothing,Cars baskılı kapüşonlu sweatshirt,Bershka,-7.644787644787643
cars baskili kisa kollu tisort,03,clothing,Cars baskılı kısa kollu tişört,Bershka,-30.379746835443033
cars kapusonlu sweatshirt,03,clothing,Cars kapüşonlu sweatshirt,Bershka,0.0
cars kisa kollu tisort,03,clothing,Cars kısa kollu tişört,Bershka,0.0
cars oversize kisa kollu baskili tisort,03,clothing,Cars oversize kısa kollu baskılı tişört,Bershka,-30.303030303030297
cartia 30 tablet,13,cosmetics,Cartia 30 Tablet,Dermomarket,0.0
carub hybrid seramik cila 500 ml,01,market,Carub Hybrid Seramik Cila 500 Ml,Hapeloglu,0.0
carub oto sampuan cilali 100 ml,01,market,Carub Oto Şampuan Cilalı 100 Ml,Hapeloglu,0.0
carub sibop kapagi 4 lu krom vakum,01,market,Carub Sibop Kapağı 4 Lü Krom Vakum,Hapeloglu,0.0
carub sibop kapagi 4 lu mavi vakum,01,market,Carub Sibop Kapağı 4 Lü Mavi Vakum,Hapeloglu,0.0
carub sibop kapagi 4 lu neon fosfor kirmizi,01,market,Carub Sibop Kapağı 4 Lü Neon Fosfor Kırmızı,Hapeloglu,0.0
carub sibop kapagi 4 lu neon fosfos turuncu,01,market,Carub Sibop Kapağı 4 Lü Neon Fosfos Turuncu,Hapeloglu,0.0
