Product Title,Monthly Inflation(%)
ATLET ŞORT 2'Lİ TAKIM ERKEK BEBEK,0.0
AYI BASKILI 2'Lİ ATLET KIZ ÇOCUK,0.0
AYI BASKILI PENYE 3'LÜ BOXER ERKEK ÇOCUK,0.0
AYICIKLI 2'Lİ TAKIM KIZ BEBEK,0.0
AYICIKLI 3'LÜ PAMUKLU UZUN ÇORAP ERKEK ÇOCUK,0.0
AYICIKLI CHARM ANAHTARLIK,0.0
AYICIKLI ELBİSE KIZ BEBEK,0.0
AYICIKLI GÖMLEK KIZ BEBEK,0.0
AYICIKLI JEAN TULUM ERKEK BEBEK,0.0
AYICIKLI PAMUKLU ELBİSE KIZ ÇOCUK,0.0
AYICIKLI POLO TİŞÖRT KIZ ÇOCUK,0.0
AYICIKLI POPLİN GÖMLEK ERKEK BEBEK,0.0
AYICIKLI PİJAMA TAKIMI,0.0
AYICIKLI PİKE 2'Lİ TAKIM ERKEK BEBEK,0.0
AYICIKLI TİŞÖRT ERKEK BEBEK,0.0
AYICIKLI TİŞÖRT KIZ ÇOCUK,0.0
AYICIKLI ÇİZGİLİ POPLİN GÖMLEK ERKEK ÇOCUK,0.0
BAGGY FIT BASKILI PANTOLON ERKEK BEBEK,0.0
BAGGY FIT BERMUDA,0.0
BAGGY FIT GABARDİN PANTOLON KIZ ÇOCUK,0.0
BAGGY FIT GENİŞ PAÇA JEAN PANTOLON KIZ ÇOCUK,0.0
BAGGY FIT JEAN PANTOLON KIZ ÇOCUK,10.00010000100001
BAGGY FIT NORMAL BEL GABARDİN PANTOLON,-40.000307694674575
BAGGY FIT PAMUKLU PANTOLON KIZ BEBEK,0.0
BAGGY FIT PANTOLON,5.314055871017233
BAGGY FIT POPLİN PANTOLON KIZ ÇOCUK,0.0
BAGGY FIT SKUBA DALGIÇ KUMAŞ PANTOLON,0.0
BAGGY FIT SWEATSHİRT KUMAŞI ALT,0.0
BAGGY FIT YÜKSEK BEL DÜZ PAÇA UZUN JEAN PANTOLON,0.0
BAGGY FIT YÜKSEK BEL KATLAMALI PAÇA JEAN PANTOLON,0.0
BAGGY FIT YÜKSEK BEL UZUN JEAN PANTOLON,-5.000033333555557
BAGGY FIT ŞORT,0.0
BAKLAVA DESENLİ HIRKA,-30.00030000300003
BALIKÇI YAKA MONT KIZ ÇOCUK,0.0
BALLOON FIT BASIC EŞOFMAN ALTI,0.0
BALLOON FIT BİSİKLET YAKA TİŞÖRT KIZ BEBEK,-20.00040000800016
BALLOON FIT DİK YAKA POPLİN CEKET,0.0
BALLOON FIT ESNEK BANTLI PAÇA KETEN KARIŞIMLI PANTOLON KIZ BEBEK,0.0
BALLOON FIT GABARDİN PANTOLON ERKEK BEBEK,0.0
BALLOON FIT JEAN PANTOLON,0.0
BALLOON FIT JEAN PANTOLON KIZ ÇOCUK,-1.1368797460136203e-14
BALLOON FIT KAYIK YAKA MİNİ ELBİSE,0.0
BALLOON FIT KISA KOLLU TİŞÖRT,0.0
BALLOON FIT MİDİ ETEK,0.0
BALLOON FIT MİNİ ETEK,0.0
BALLOON FIT NORMAL BEL DÜZ PAÇA PANTOLON,0.0
BALLOON FIT NORMAL BEL MÜSLİN PANTOLON,0.0
BALLOON FIT NORMAL BEL MİNİ ETEK,-30.000333337037077
BALLOON FIT NORMAL BEL PANTOLON,0.0
BALLOON FIT NORMAL BEL POPLİN PANTOLON,-20.000153847337288
BALLOON FIT PANTOLON,-12.000120001200013
BALLOON FIT POPLİN BLAZER CEKET,0.0
BALLOON FIT POPLİN GÖMLEK,0.0
BALLOON FIT POPLİN KOLSUZ BLUZ,0.0
BALLOON FIT TİŞÖRT KIZ BEBEK,0.0
BALLOON FIT YARI ELASTİK BANTLI BEL PANTOLON,0.0
BALLOON FIT YÜKSEK BEL JEAN YIKAMALI PANTOLON,0.0
BALLOON FIT ÇİZGİLİ POPLİN GÖMLEK,0.0
BALLOON FİT ESNEK BANTLI PAÇA PANTOLON KIZ ÇOCUK,0.0
BALON ETEK KIZ ÇOCUK,0.0
