ID,SKU,Product Name,Category,Price (TL),URL
81,CETA.H01-40-100,CETA FORM H01-40-100 Düz Uçlu Elektronikçi Tornavida 4.0x100 mm,Düz Uçlu Tornavidalar,"110,76",https://www.nalburcuk.com/urun/ceta-form-h01-40-100-duz-uclu-elektronikci-tornavida-4-0x100-mm
82,CETA.H01-40-080,CETA FORM H01-40-080 Düz Uçlu Elektronikçi Tornavida 4.0x80 mm,Düz Uçlu Tornavidalar,"99,06",https://www.nalburcuk.com/urun/ceta-form-h01-40-080-duz-uclu-elektronikci-tornavida-4-0x80-mm
83,CETA.H01-35-080,CETA FORM H01-35-080 Düz Uçlu Elektronikçi Tornavida 3.5x80 mm,Düz Uçlu Tornavidalar,"95,16",https://www.nalburcuk.com/urun/ceta-form-h01-35-080-duz-uclu-elektronikci-tornavida-3-5x80-mm
84,CETA.H01-30-150,CETA FORM H01-30-150 Düz Uçlu Elektronikçi Tornavida 3.0x150 mm,Düz Uçlu Tornavidalar,"127,14",https://www.nalburcuk.com/urun/ceta-form-h01-30-150-duz-uclu-elektronikci-tornavida-3-0x150-mm
85,CETA.H01-30-100,CETA FORM H01-30-100 Düz Uçlu Elektronikçi Tornavida 3.0x100 mm,Düz Uçlu Tornavidalar,"107,64",https://www.nalburcuk.com/urun/ceta-form-h01-30-100-duz-uclu-elektronikci-tornavida-3-0x100-mm
86,CETA.H01-25-100,CETA FORM H01-25-100 Düz Uçlu Elektronikçi Tornavida 2.5x100 mm,Düz Uçlu Tornavidalar,"104,52",https://www.nalburcuk.com/urun/ceta-form-h01-25-100-duz-uclu-elektronikci-tornavida-2-5x100-mm
87,CETA.H01-30-080,CETA FORM H01-30-080 Düz Uçlu Elektronikçi Tornavida 3.0x80 mm,Düz Uçlu Tornavidalar,"90,48",https://www.nalburcuk.com/urun/ceta-form-h01-30-080-duz-uclu-elektronikci-tornavida-3-0x80-mm
88,CETA.H01-20-060,CETA FORM H01-20-060 Düz Uçlu Elektronikçi Tornavida 2.0x60 mm,Düz Uçlu Tornavidalar,"88,92",https://www.nalburcuk.com/urun/ceta-form-h01-20-060-duz-uclu-elektronikci-tornavida-2-0x60-mm
89,CETA.H01-25-080,CETA FORM H01-25-080 Düz Uçlu Elektronikçi Tornavida 2.5x80 mm,Düz Uçlu Tornavidalar,"90,48",https://www.nalburcuk.com/urun/ceta-form-h01-25-080-duz-uclu-elektronikci-tornavida-2-5x80-mm
90,CETA.H01-20-100,CETA FORM H01-20-100 Düz Uçlu Elektronikçi Tornavida 2.0x100 mm,Düz Uçlu Tornavidalar,"104,52",https://www.nalburcuk.com/urun/ceta-form-h01-20-100-duz-uclu-elektronikci-tornavida-2-0x100-mm
91,CETA.H01-18-060,CETA FORM H01-18-060 Düz Uçlu Elektronikçi Tornavida 1.8x60 mm,Düz Uçlu Tornavidalar,"88,92",https://www.nalburcuk.com/urun/ceta-form-h01-18-060-duz-uclu-elektronikci-tornavida-1-8x60-mm
92,CETA.H01-15-040,CETA FORM H01-15-040 Düz Uçlu Elektronikçi Tornavida 1.5x40 mm,Düz Uçlu Tornavidalar,"82,68",https://www.nalburcuk.com/urun/ceta-form-h01-15-040-duz-uclu-elektronikci-tornavida-1-5x40-mm
