date,product-name,product-price,category,source
2026-05-01,%5 DEKSTROZ %09 NACL SISE 1000 ML (SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL SISE 1000 ML (SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL SISE 1000 ML (SETSIZ),1.81,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ %09 NACL SISE 1000 ML (SETSIZ),1.81,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ 1000 ML SOLUSYON,1.9,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ 1000 ML SOLUSYON(SETLI),1.9,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ 1000 ML SOLUSYON(SETSIZ),1.9,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ 250 ML(SETLI),1.42,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ 500 ML SOLUSYON(SETLI),1.65,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ 500 ML SOLUSYON(SETSIZ),1.49,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ BIOSEL SUDAKI SOLUSYON    500 ML SETLI SISE,1.6300000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ BIOSEL SUDAKI SOLUSYON   100 ML SETLI SISE,0.86,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ BIOSEL SUDAKI SOLUSYON   250 ML SETLI SISE,1.32,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ BIOSEL SUDAKI SOLUSYON  1000 ML SETLI SISE,1.91,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR 1000 ML (MEDIFLEKS-SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI 1000 ML (MEDIFLEKS-SETSIZ),1.84,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI 250 ML (CAM-SETLI),1.86,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI 250 ML (CAM-SETSIZ),1.5,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI 500 ML (MEDIFLEKS-SETLI),1.72,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI 500 ML (MEDIFLEKS-SETSIZ),1.42,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI BFS 500 ML(SETLI),1.72,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI BFS 500 ML(SETSIZ),1.42,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI BFS1000 ML(SETLI),1.8800000000000001,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ IZOTONIK SODYUM KLORUR COZELTISI BFS1000 ML(SETSIZ),1.84,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTAT RINGER   500 ML SOLUSYON,1.57,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTAT RINGER   500 ML SOLUSYON(SETLI),1.46,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTAT RINGER 1000 ML SOLUSYON,1.9,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTAT RINGER 1000 ML SOLUSYON(SETLI),1.62,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTAT RINGER PVC 1000 ML(SETSIZ),1.89,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTAT RINGER PVC 1000 ML(SETSIZ),1.89,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER COZELTISI 1000 ML (SETLI SISE),1.93,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER COZELTISI 1000 ML (SETSIZ SISE),1.89,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER COZELTISI 500 ML (SETLI SISE),1.72,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER COZELTISI 500 ML (SETSIZ SISE),1.41,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER PVC 1000 ML(SETLI),1.93,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER PVC 1000 ML(SETLI),1.93,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER PVC 500 ML(SETLI),1.78,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER PVC 500 ML(SETLI),1.78,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER PVC 500 ML(SETSIZ),1.45,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER PVC 500 ML(SETSIZ),1.45,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER SISE   500 ML(SETLI),1.72,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER SISE   500 ML(SETSIZ),1.41,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER SISE 1000 ML(SETLI),1.93,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER SISE 1000 ML(SETSIZ),1.89,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER SOLUSYONU   500 ML(SETLI),1.85,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ LAKTATLI RINGER SOLUSYONU 1000 ML(SETLI),1.96,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC   100 ML(SETLI),1.19,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC   100 ML(SETSIZ),0.87,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC   150 ML(SETLI),1.27,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC   150 ML(SETSIZ),0.96,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC   250 ML(SETSIZ),1.12,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC   500 ML(SETLI),1.75,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC   500 ML(SETSIZ),1.46,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC 100 ML SOLUSYON,0.86,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC 1000 ML(SETLI),1.94,İlaç,TİTCK
2026-05-01,%5 DEKSTROZ PVC 1000 ML(SETSIZ),1.9,İlaç,TİTCK
