item_name,price,tarih,kategori,para_birimi,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Mgs Tekli Sarma Küp Şeker Poşet 750 Gr,90.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,3.4482758620689653,3.4482758620689653
Öncü Acı Biber Salçası 4300 Gr,1006.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,-1.3725490196078431
Söke Geleneksel Buğday Un 2 Kg,172.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Söke Geleneksel Un 1 Kg,80.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Köfte Harcı 100 Gr,39.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Köri 100 Gr,46.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Çiğ Köfte Seti Etsiz 500 Gr,78.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Tane Karabiber 100 Gr,142.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Beyaz Haşhaş 100 Gr,71.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Tatlı Toz Biber 1 Kg,396.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Pul Biber 1 Kg,369.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Limon Tuzu 1 Kg,296.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Karbonat 1 Kg,100.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Karabiber 1 Kg,1011.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Çörekotu 1 Kg,493.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Mavi Haşhaş 100 Gr,71.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Yenibahar 100 Gr,147.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Tatlı Biber 100 Gr,71.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Tarçın 100 Gr,57.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Susam 100 Gr,48.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Sumak 100 Gr,101.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Pul Biber 100 Gr,71.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Pasta Süsü 100 Gr,28.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,,0.0
Itır Baharat Nane 50 Gr,35.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Limon Tuzu 100 Gr,51.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Köfte Baharı 100 Gr,74.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Kimyon 100 Gr,82.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Kekik 50 Gr,57.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,-10.15625,-10.15625
Itır Baharat Karbonat 200 Gr,35.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Karanfil 50 Gr,103.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Karabiber 100 Gr,119.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,-17.869415807560138,-17.869415807560138
Itır Baharat İsot 100 Gr,71.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Hindistan Cevizi 75 Gr,57.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Çam Fıstığı 50 Gr,369.5,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Çörek Otu 100 Gr,72.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
Itır Baharat Acı Biber 100 Gr,71.0,2026-05-25,temel-gida,TRY,01,0.0,0.0,0.0,0.0
