product_name,price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Ashley Baskılı Pamuklu Tek Kişilik Pike 150x220 cm Mavi,639.99,05,0.0,0.0,-84.00021000052502,
Ashley Baskılı Pamuklu Çift Kişilik Pike 200x220 cm Mavi,799.99,05,0.0,0.0,-84.000168000336,
Ashley Kolay Ütülenir 2li Yastık Kılıfı 50x70 cm Mavi,1499.99,05,0.0,0.0,,
Ashley Porselen Kahve Fincan Takımı 4 Parça 2 Kişilik Bordo,1749.99,05,0.0,0.0,0.0,
Ashley Porselen Kahve Fincan Takımı 4 Parça 2 Kişilik Mavi,1499.99,05,0.0,0.0,0.0,
Ashley Porselen Kahve Fincan Takımı 4 Parça 2 Kişilik Siyah,2249.99,05,0.0,0.0,0.0,
Ashley Porselen Kahve Fincan Takımı 4 Parça 2 Kişilik Siyah-Bordo,1499.99,05,0.0,0.0,0.0,
Ashley Porselen Kahve Fincan Takımı 4 Parça 2 Kişilik Yeşil,1499.99,05,0.0,0.0,0.0,
Aspen Paslanmaz Çelik Rende 24 cm Natural,1249.99,05,0.0,0.0,0.0,
Aspen Çerçeve 13x18 cm Silver,1499.99,05,0.0,0.0,0.0,
Aspen Çerçeve Gold,1999.99,05,0.0,0.0,0.0,
Aster Plastik El Rondosu Mutfak Gereci 13x11 cm Yeşil,1499.99,05,0.0,0.0,0.0,
Astra Yılbaşı Ağaç Süsü Multicolor,1499.99,05,0.0,0.0,0.0,
Astrion New Bone China Kupa 460 ml Lacivert,539.99,05,0.0,0.0,-82.00027333424445,
"Asya Metal Dekoratif Obje 30,5 cm Gold",6999.99,05,0.0,0.0,0.0,
Audra Çerçeve 8x8 cm Multicolor,2749.99,05,0.0,0.0,0.0,
Aura Boncuk Elyaf Yastık 50x70 cm Gri,3749.99,05,0.0,0.0,0.0,
Aura Solaire Parfüm Seti 100 ml + 20 ml,699.99,05,0.0,0.0,-12.50125,
Aura Çerçeve 8x8 cm Multicolor,2749.99,05,0.0,0.0,525.0119320893656,
Aurelia Halı 100x200 cm Bej,6749.99,05,0.0,0.0,0.0,
Aurelia Halı 100x300 cm Bej,9999.99,05,0.0,0.0,0.0,
Aurelia Halı 120x180 cm Bej,6999.99,05,0.0,0.0,0.0,
Aurelia Halı 160X230 cm Bej,12999.99,05,0.0,0.0,0.0,
Aurelia Halı 80x150 cm Bej,3999.99,05,0.0,0.0,0.0,
Aurelia Halı 80x300 cm Bej,7499.99,05,0.0,0.0,0.0,
"Aurelia Paslanmaz Çelik 5li Servis Seti 20,5x22,8x21,8x23,5x22 cm Gold",6499.99,05,0.0,0.0,525.0050481254627,
"Aurelia Paslanmaz Çelik 5li Servis Seti 20,5x22,8x21,8x23,5x22 cm Silver",779.99,05,0.0,0.0,-14.285871273310697,
Aurelia Tek Kişilik Pike Takımı 150x200 cm Sarı,5999.99,05,0.0,,,
Autumn Branch Baskılı Pamuklu Tek Kişilik Pike 150x220 cm Pembe,3499.99,05,0.0,0.0,0.0,
Autumn Branch Baskılı Pamuklu Çift Kişilik Pike 200x220 cm Pembe,3999.99,05,0.0,0.0,0.0,
Autumn Branch Kolay Ütülenir 2li Yastık Kılıfı 50x70 cm Pembe,1999.99,05,0.0,0.0,0.0,
Autumn Flower 20li Kağıt Peçete Renkli,1049.99,05,0.0,0.0,0.0,
Autumn Whisper Kolay Ütülenir 2li Yastık Kılıfı 50x70 cm Yeşil,1499.99,05,0.0,0.0,0.0,
Autumn Whisper Tek Kişilik Pike 150x220 cm Yeşil,449.99,05,0.0,0.0,-82.00032800131201,
Autumn Whisper Çift Kişilik Pike 200x220 cm Yeşil,479.99,05,0.0,0.0,-84.00028000093334,
Ava Pamuklu Banyo Paspası Açık Gri,3999.99,05,0.0,0.0,0.0,
Avani Vazo Krem,2239.99,05,0.0,0.0,-11.111155202996837,
Avelia Bone Porselen 4 Parça 2 Kişilik Kahve Fincan Takımı 90 ml Pembe - Gold,719.99,05,0.0,0.0,0.0,
Avin Tek Dal Yapay Çiçek 71 cm Kırmızı,1299.99,05,0.0,0.0,0.0,
Avin Yılbaşı Ağaç Süsü Multicolor,1499.99,05,0.0,0.0,0.0,
Avin Çerçeve Kahverengi,299.99,05,0.0,0.0,0.0,
Avokado Yağı Maske 25 ml Yeşil,699.95,05,0.0,0.0,0.0,
