District,Rooms,Price,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Silifke / Taşucu,2+1,17928.571428571428,04,-12.69041621686458,-4.731365748314912,,-10.984814040192784
Silifke / Taşucu,2.5+1,25500.0,04,0.0,0.0,,-1.9230769230769231
Silifke / Taşucu,3+1,22555.555555555555,04,-52.65055131467346,-48.322851153039835,,-21.933800302156296
Silifke / Taşucu,4+1,17000.0,04,0.0,-54.666666666666664,,-42.3728813559322
Tarsus / 82 Evler,1+1,21000.0,04,0.0,0.0,,6.329113924050633
Tarsus / 82 Evler,2+1,22928.571428571428,04,0.05194805194804211,24.358353510895878,,21.74462705436157
Tarsus / 82 Evler,3+1,24333.333333333332,04,0.0,6.9597069597069545,,20.164609053497937
Tarsus / Akşemsettin,1+1,25500.0,04,0.0,-1.9230769230769231,,-2.5477707006369474
Tarsus / Akşemsettin,2+1,25000.0,04,19.047619047619047,-75.60975609756098,,22.54901960784314
Tarsus / Akşemsettin,3+1,26964.285714285714,04,-67.85182031083671,1.9122609673790802,,-61.57938564026647
Tarsus / Akşemsettin,4+1,27500.0,04,-10.204081632653061,0.0,,-24.999999999999993
Tarsus / Altaylılar,1+1,20916.666666666668,04,1.046698872785835,-3.6098310291858624,,10.816777041942611
Tarsus / Altaylılar,2+1,21216.666666666668,04,2.137126185266238,5.380794701986767,,-24.22619047619047
Tarsus / Altaylılar,2.5+1,25000.0,04,0.0,0.0,,
Tarsus / Altaylılar,3+1,23488.636363636364,04,-35.73739911679609,-19.537852327683062,,-30.861693496733416
Tarsus / Altaylılar,3.5+1,32000.0,04,0.0,0.0,,
Tarsus / Altaylılar,4+1,30818.18181818182,04,-27.951460304401483,-25.275532696546648,,-47.66638719207889
Tarsus / Anıt,1+1,13750.0,04,0.0,-8.333333333333332,,-27.631578947368425
Tarsus / Anıt,2+1,20300.0,04,-80.45392022008254,-76.25730994152048,,-73.28947368421052
Tarsus / Anıt,3+1,20835.714285714286,04,1.4211830153418255,2.0108410561286965,,3.63162673193069
Tarsus / Anıt,3.5+1,35000.0,04,0.0,0.0,,0.0
Tarsus / Anıt,4+1,25000.0,04,16.27906976744186,14.942528735632186,,0.0
Tarsus / Anıt,Stüdyo (1+0),15000.0,04,0.0,0.0,,-88.0
