City,District,Rooms,Price
Ankara_Altindag,HasköyGüneşevler Mh.,4+1,54000.0
Ankara_Altindag,Ulus/İsmetpaşaHacı Bayram Mh.,3+1,20500.0
Ankara_Altindag,YeşilözBaraj Mah.,4+1,18000.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,41500.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,20000.0
Ankara_Altindag,UlubeyBaşpınar Mh.,3+1,25000.0
Ankara_Altindag,HasköyGüneşevler Mh.,2+1,18500.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,29000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,26000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,3+1,21000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,2+1,20000.0
Ankara_Altindag,Ulus/İsmetpaşaHacı Bayram Mh.,1+1,18000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,23000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,26500.0
Ankara_Altindag,HasköyYıldıztepe Mh.,4+1,30000.0
Ankara_Altindag,AltındağHacettepe Mah.,3+1,28000.0
Ankara_Altindag,AltındağÖrnek Mh.,2+1,15000.0
Ankara_Altindag,YeşilözBaraj Mah.,3+1,18500.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,32500.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,19500.0
Ankara_Altindag,AltındağKarapürçek Mh.,2+1,37000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,3+1,20000.0
Ankara_Altindag,HasköyDoğantepe Mh.,3+1,20000.0
Ankara_Altindag,UlubeyBattalgazi Mh.,2+1,17500.0
Ankara_Altindag,HisarKale Mah.,1+1,24000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,3+1,29000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,16500.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,23000.0
Ankara_Altindag,AltındağGültepe Mh.,3+1,16500.0
Ankara_Altindag,AltındağÖrnek Mh.,2+1,18000.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,26000.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,25000.0
Ankara_Altindag,AydınlıkevlerAydınlıkevler Mh.,2+1,20000.0
Ankara_Altindag,AltındağZübeyde Hanım Mh.,4+1,34000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,25000.0
Ankara_Altindag,AltındağKarapürçek Mh.,4+1,37000.0
Ankara_Altindag,AltındağZübeyde Hanım Mh.,3+1,22500.0
Ankara_Altindag,UlubeyBaşpınar Mh.,3+1,29000.0
Ankara_Altindag,YeşilözBaraj Mah.,4+1,36000.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,35000.0
Ankara_Altindag,AltındağKarapürçek Mh.,3+1,15000.0
Ankara_Altindag,AltındağFeridun Çelik Mh.,3+1,21500.0
Ankara_Altindag,UlubeyBaşpınar Mh.,3+1,22500.0
Ankara_Altindag,AltındağHacettepe Mah.,2+1,23000.0
Ankara_Altindag,HasköyGüneşevler Mh.,4+1,52500.0
Ankara_Altindag,HasköyGüneşevler Mh.,3+1,35000.0
Ankara_Altindag,UlubeyBaşpınar Mh.,3+1,29000.0
Ankara_Altindag,HasköyYıldıztepe Mh.,3+1,42500.0
Ankara_Altindag,AltındağZübeyde Hanım Mh.,3+1,17000.0
Ankara_Altindag,YeşilözBaraj Mah.,4+1,20000.0
Ankara_Altindag,UlubeyBeşikkaya Mh.,3+1,19000.0
Ankara_Altindag,YeşilözBaraj Mah.,3+1,40000.0
