ProductName,Total_Period_Change_%,2026-03_Change_%,2026-04_Change_%
%30 33G FISTIKLI RAWBERRY YER,0.0,2.220446049250313e-14,-3.3306690738754696e-14
%30 3LU BEZI MIKROFIBER PAREX TEMIZLIK,0.0,0.0,0.0
%30 3LÜ MIKROFIBERLI PAREX TEM.BEZI,-0.0,-2.220446049250313e-14,0.0
%30 5 BEZI DÜZ LI MIKROFIBER TEMIZLIK VILEDA,0.0,0.0,0.0
%30 5 LI MIC.FIBER PAREX TEM.BEZI,0.0,0.0,0.0
%30 500G DONUK ETI GLAZE KOCAMAN MIDYE,0.0,0.0,0.0
%30 500GR BALIKYE BANDO FILETO GLZ MEZGIT,0.0,0.0,0.0
%30 500GR BALIKYE BANDO FILETO GLZ PANGA,0.0,0.0,0.0
%30 56G ALBENI DAHA FAZLA ÜLKER,0.0,0.0,0.0
%30 5LI BEZI MIKROFIBER TEMIZLIK VILEDA,0.0,2.220446049250313e-14,0.0
%30 8 BEZI EKO LI MIKROFIBER PAREX PK TEMIZLIK,11.43,0.0,11.428571428571432
%30 8 LI MIC.FIBER PAREX TEM.BEZI,0.0,0.0,0.0
%30 BAŞLIĞI MIKROFIBER MOCIO SOFT SÜPER VILEDA YEDEK,0.0,0.0,0.0
%30 KREMA SÜTAŞ YAĞLI,0.0,0.0,0.0
%30 MICROFIBERLI PASPAS SOFT VILEDA,0.0,0.0,0.0
%30 MIKROFIBER PASPAS SAPLI SOFT SÜPER VILEDA,0.0,0.0,0.0
%32 77G ANTEP BÜTÜN DOLU DOLU FISTIKLI TABLET ÇIKOLATA ÜLKER,0.0,0.0,0.0
%32 77G ANTEP DOLU DOLU FISTIKTABLET ULKER ÇIKOLATA,0.0,0.0,0.0
%32 77GR A.FISTIKLI CIK. DOLU SUTLU TABLET ULKER,0.0,0.0,0.0
%32 80G BADEM DOLU DOLU TABLET ULKER ÇIKOLATA,0.0,0.0,0.0
%32 80G BADEMLI BÜTÜN DOLU DOLU TABLET ÇIKOLATA ÜLKER,0.0,0.0,0.0
%32 80G BÜTÜN DOLU DOLU FINDIKLI TABLET ÇIKOLATA ÜLKER,0.0,0.0,0.0
%32 80G DOLU DOLU FINDIK TABLET ULKER ÇIKOLATA,0.0,0.0,0.0
%32 80GR BADEMLI CIKOLATA DOLU SUTLU TABLET ULKER,0.0,0.0,0.0
%32 80GR CIK. DOLU FINDIKLI SUTLU TABLET ULKER,0.0,0.0,0.0
%32 BITTER SÜT YAĞ YAĞLIKG YEMEKLIK,0.0,0.0,0.0
%32 CIK.DOLU DOLU FINDIK... ÜLKER,0.0,0.0,0.0
%35 1L KREMA YAĞLI İÇIM ŞEF,0.0,0.0,0.0
%35 200ML KREMA MIS UHT YAĞLI,0.0,0.0,0.0
%35 200ML KREMA YAĞLI İÇIM ŞEF,-2.64,-0.7634628493524254,-1.8937512549272228
%35 350G EZMESI FINDIK FINDIK GÜRSOY KAKAOLU TERRE,0.0,0.0,0.0
%36 200G EZMESI FINDIK FINDIK KAKAOLU TADELLE,-0.68,0.0,-0.6802721088435382
