Price,Location,Rooms
6.000 TL,Serik/Belek,4+1
80.000 TL,Demre/Kale(Demre),6+3
130.000 TL,Döşemealtı/Merkez,5+1
200.000 TL,Konyaaltı/Arapsuyu,6+1
190.000 TL,Kaş/Kalkan,3+1
80.000 TL,Serik,3+1
60.000 TL,Döşemealtı/Merkez,4+1
5.000 TL,Kaş/Kalkan,2+1
75.000 TL,Döşemealtı/Yeşilbayır,7+1
80.000 TL,Serik,4+1
10.000 TL,Kaş/Köyler,3+1
35.000 TL,Manavgat,2+1
99.000 TL,Kaş/Kalkan,2+1
95.000 TL,Manavgat,4+1
120.000 TL,Döşemealtı/Merkez,3+1
70.000 TL,Döşemealtı/Yeşilbayır,7+1
52.000 TL,Kepez/Köyler,3+2
35.500 TL,Finike/Beldeler,2+1
16.500 TL,Serik/Belek,4+1
105.000 TL,Manavgat/Çolaklı,5.5+1
15.800 TL,Serik,3+1
65.000 TL,Döşemealtı/Yeniköy,3+1
90.000 TL,Serik/Belek,4+1
28.000 TL,Serik,5+1
35.000 TL,Alanya/Beldeler,3+1
75.000 TL,Manavgat/Ilıca,6+1
77.000 TL,Kepez/Köyler,4+1
7.500 TL,Serik/Belek,4+1
85.000 TL,Serik,6+1
45.000 TL,Konyaaltı/Köyler,2+1
70.000 TL,Serik,3+1
45.000 TL,KepezKöyler,4+1
60.000 TL,Serik,5+1
85.000 TL,Serik,4+1
5.000 TL,Kaş/Kalkan,2+1
45.000 TL,Muratpaşa/Lara,3+1
80.000 TL,Alanya/Köyler,3+1
27.500 TL,Serik,3+1
60.000 TL,Döşemealtı/Merkez,5+1
75.000 TL,Serik/Belek,3+1
42.000 TL,Kumluca/Mavikent,6+1
55.000 TL,Serik,3+1
