product_id,url,name,sku,marka,stok_durumu,birim,price,currency,scraped_at
4767,https://yapimaks.com/25-kompozit-boru-pprc-4-m-kalde-p4767,,,,,,,TRY,2026-03-17 22:38:21
4852,https://yapimaks.com/25-kortapa-disli-pprc-kalde-p4852,,,,,,,TRY,2026-03-17 22:38:31
4833,https://yapimaks.com/25-kuresel-vana-pprc-kalde-p4833,,,,,,,TRY,2026-03-17 22:38:41
4781,https://yapimaks.com/25-manson-pprc-kalde-p4781,,,,,,,TRY,2026-03-17 22:38:51
4763,https://yapimaks.com/25-pprc-boru-4-mt-kalde-p4763,,,,,,,TRY,2026-03-17 22:39:01
4790,https://yapimaks.com/25-te-pprc-kalde-p4790,,,,,,,TRY,2026-03-17 22:39:11
4811,https://yapimaks.com/32-1-dirsek-dis-disli-pprc-kalde-p4811,,,,,,,TRY,2026-03-17 22:39:21
4823,https://yapimaks.com/32-1-dis-disli-rekor-pprc-kalde-p4823,,,,,,,TRY,2026-03-17 22:39:31
4807,https://yapimaks.com/32-1-ic-disli-dirsek-pprc-kalde-p4807,,,,,,,TRY,2026-03-17 22:39:41
4818,https://yapimaks.com/32-1-ic-disli-rekor-pprc-kalde-p4818,,,,,,,TRY,2026-03-17 22:39:51
4845,https://yapimaks.com/32-1-oynar-basli-dis-disli-kalde-p4845,"32 1"" Oynar Başlı Rakor - Erkek, Dış Dişli Rakor, PPRC, 32 mm x 1""",KALDE.3272TUM321000,KALDE,Birim: Adet,Adet,"185,00",TRY,2026-03-17 22:40:01
4842,https://yapimaks.com/32-1-rekor-oynar-basli-ic-disli-kalde-p4842,"32 1"" Oynar Başlı Rakor - Dişi, İç Dişli Rakor, PPRC, 32 mm x 1""",KALDE.3272TUF321000,KALDE,Birim: Adet,Adet,"163,00",TRY,2026-03-17 22:40:04
