Title,Weekly Inflation(%)
DANONE 180 ML 6 LI  AROMALI SUT  KAKAOLU,0.0
DANONE 180 ML DISNEY AROMALI SUT CILEK,0.0
DANONE 180 ML DISNEY AROMALI SUT KAK,0.0
DANONE 180 ML DISNEY AROMALI SUT MUZ,0.0
DANONE 2X90 GR DANY ORMAN MEYVE,0.0
DANONE 67 GR DISNEY HUPPER YOG. MUZLU,0.0
DANONE 70 GR DISNEY HUPPER CIKOLATALI,0.0
DANONE KREMA 200 ML BTKS.,0.0
DANONE SUT 6X180ML UHT DOGAL,0.0
DANONE SUT LAKTOZSUZ 1 LT,0.0
DANONE YOGURT 400GR CILEK,0.0
DANONE YOGURT ORMAN MEYVELI  400 GR,0.0
DARDANEL EKONOMIK 140 GRX2,0.0
DARDANEL EKONOMIK TON 4*75 GR(HEDIYELI),47.061591858344606
DARDANEL TON  2*140 GR,0.0
DARDANEL TON H.YEMEK 4 TAHILLI 160 GR,0.0
DARDANEL TON H.YEMEK MEKSIKA FASULYELI 160G,0.0
DARDANEL TON H.YEMEK MISIRLI 160 GR,0.0
DARDANEL TON Z YAGLI  3*75 GR,0.0
DEL BEBETO WACKY STICKS 75 GR,0.0
DEL COSBY BIGMIX 9  GR,0.0
DEL ETI PAYKEK MEYVELI 200 GR,0.0
DEL ETI PAYKEK MOZAIK 200 GR,0.0
DEL KAHVE DUNYASI 125 GR GOFRIK GOFRET,0.0
DEL KINDER SURPRIZ YUMURTA 20 GR,0.0
DEL KOSKA PEKMEZ 700 GR UZUM BIDON,0.0
DEL NESTLE POLO 34 GR,0.0
DEL NUTELLA 1000 GR,0.0
DEL OREO BISKUVI 110 GR,59.831966393278655
DEL PAKKÖY GEZEN TAVUK YUMURTASI 30 LU,0.0
DEL ROCHER T3 38 GR,0.0
DEL SARELLE 350 GR FINDIK EZMESI BITTER,0.0
DEL SEYIDOGLU RECEL 380 GR KAYISI,-27.275206836985184
DEL SEYIDOGLU RECEL 380 GR KURU INCIR,-27.275206836985184
DEL TAMEK RECEL 380 GR AHUDUDU,0.0
DEL TAMEK RECEL 380 GR CILEK,0.0
DEL TAMEK RECEL 380 GR PORTAKAL,0.0
DEL TAMEK RECEL 380 GR VISNE,0.0
DEL TEKSUT TAZE KASAR PEYNIRI 600 GR,35.00175008750438
DEL ULKER 20 GR YUPO COKOJELO BOGURTLEN,85.71428571428571
DEL ULKER YUPO 20 GR COKOJELO PORTAKAL,85.71428571428571
DEL.ACTIVEX SIVI SABUN 700ML HASSAS,0.0
DEL.ACTIVEX SIVI SABUN 700ML NEMLENDIRICI,0.0
DEL.AKMAN KEKIK 85 GR,0.0
DEL.ARIEL MATIK 7.5 KG DAG ESINTISI RENKLILER,0.0
DEL.ARKO KREM D.YAGLAR 250 ML AVOKADO,-40.00222234568588
DEL.ARKO NEM KREM PREBIYOTIK 250 ML BADEM SUTU,-40.00222234568588
DEL.ARKO NEM KREM PREBIYOTIK 250 ML YULAF,0.0
DEL.ATESOGLU AYRAN NATUREL SISE 1500 ML,0.0
DEL.AYNES BEYAZ PEYNYR 900 GR,0.0
DEL.BABY TURCO ISLAK HAVLU 90'LI,0.0
DEL.BAGDAT PASTA SÜSÜ K.QUADRO 50 GR,0.0
DEL.BINGO MATIK 4 KG RENKLI BEYAZ,0.0
DEL.BINGO MATIK 4 KG ULTRA BEYAZ,0.0
DEL.BIOBLAS 1000 ML KERATIN SAMPUAN,0.0
DEL.BIOBLAS 1000 ML SARIMSAK SAMPUAN,0.0
DEL.BUNSA MISIR UNU 400 GR PAKET,0.0
DEL.CANPED YATAK KORUYUCU 60*90 CM 10LU,0.0
DEL.CIF SPREY HERYER SILIKONLU 1000 ML,0.0
DEL.CLEAR SAMPUAN MEN 600 ML COOL SPORT MENT.,0.0
DEL.COLGATE D.MACUNU 75ML OPTIK ANINDA BEYAZLIK,-14.286122460641732
DEL.COLGATE DIS MACUNU 75 ML BARBIE+FIRÇA,0.0
DEL.COOK STREÇ FİLM 100 MT  BIÇAK HEDİYELİ,0.0
DEL.DALIN SAMP. 700 ML,38.46449726902069
DEL.DOVE DEO 150 ML EVENTONE WOMEN,-30.00120004800192
DEL.DOVE SAMPUAN 600 ML YOGUN ONARICI,0.0
DEL.DR.OETKER GLUTENSIZ KAK.PUDING 147 GR,0.0
DEL.DR.OETKER SAKIZLI MUHALLEBİ 450 GR 2+1,-9.092562284051645
DEL.ERIS UN 1 KG,0.0
DEL.ERIS UN 2 KG,0.0
DEL.EST DOGAL DIS MACUNU 60 ML KARADUT OZLU,0.0
DEL.EST DOGAL DIS MACUNU 75 ML KARANFIL OZLU,0.0
DEL.EST GUL SUYU 350 ML,0.0
DEL.EST KOLONYA 150 ML SPREY PET BODRUM MANDALINAS,0.0
DEL.ETI BROWNI INTENSE 150 GR 3'LU PAKET,-7.693491306354813
DEL.EVONY MESANE PEDI 10 LU  YOGUN,0.0
DEL.FEBREZE AEROSOL 300 ML DAG ESINTISI,0.0
DEL.GLADE 500 ML MULTI SPRAY TROPIKAL%TEMIZ CARSAF,0.0
DEL.GLADE 500 ML MULTI SPRAY VICTORIAN ROSE,0.0
DEL.GURSOY SUTLU FINDIK KREMA 400 GR %40,-7.6926035616754485
DEL.HANUTA 2'Lİ GOFRET 44 GR,0.0
DEL.HASPILIC TAB.BUT KG,0.0
DEL.KENTON BUGDAY NISASTASI 200 GR,0.0
DEL.KOSKA TAHIN 550 GR BIDON,0.0
DEL.KOTEX NATURAL 14 LU ULTRA SÜPER .PAKET GECE,0.0
DEL.MAGIC DOSE 8 ML DEKORATIF AYNA KOKUSU MANGO,0.0
