product_id,product_name,category,price
12324,Dr.Oetker Hamur Kabartma Tozu 15x10 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Hamur Kabartma Tozu 15x10 g Stoğa girince haber ver
13551,"Ülker Sütlü Kuvertür 2,5 kg",Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,"Ülker Sütlü Kuvertür 2,5 kg Stoğa girince haber ver"
20600,Dr.Oetker Kakao Puding 147 g 3'lü,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Kakao Puding 147 g 3'lü Stoğa girince haber ver
14862,Dr.Oetker Buğday Nişastası 150 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Buğday Nişastası 150 g Stoğa girince haber ver
18384,Ülker Bizim İrmik 500 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Ülker Bizim İrmik 500 g Stoğa girince haber ver
12581,Dr.Oetker Bitter Çikolatalı Puding 111 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Bitter Çikolatalı Puding 111 g Stoğa girince haber ver
19009,Ülker Bizim İrmik 1 kg,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Ülker Bizim İrmik 1 kg Stoğa girince haber ver
20031,Kent Boringer Frambuaz Aromalı Topping Sos 750 g,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Kent Boringer Frambuaz Aromalı Topping Sos 750 g Stoğa girince haber ver
23437,Dr.Oetker Şekerli Vanilin 10'lu,Kazandıran Ürünler > Hamur ve Pasta Malzemeleri,Dr.Oetker Şekerli Vanilin 10'lu Stoğa girince haber ver
12665,Besler Üzüm Sirkesi 5 L,Kazandıran Ürünler > Ketçap - Mayonez - Soslar,"145,00TL"
14451,Besler Porsiyonluk Mayonez 500x9 g,Kazandıran Ürünler > Ketçap - Mayonez - Soslar,"440,00TL"
15026,Besler Üzüm Sirkesi 750 ml,Kazandıran Ürünler > Ketçap - Mayonez - Soslar,"27,00TL"
17232,Calve Ranch Sos 245 g,Kazandıran Ürünler > Ketçap - Mayonez - Soslar,"79,90TL"
17233,Calve Acı Sos 265 g,Kazandıran Ürünler > Ketçap - Mayonez - Soslar,"79,90TL"
17255,Amoy Soya Sos 750 ml,Kazandıran Ürünler > Ketçap - Mayonez - Soslar,"235,00TL"
20005,Kent Boringer Karamel Aromalı Topping Sos 750 gr,Kazandıran Ürünler > Ketçap - Mayonez - Soslar,"165,00TL"
20091,Besler Beyaz Sirke 2 L,Kazandıran Ürünler > Ketçap - Mayonez - Soslar,"32,50TL"
