Category,Product Name,Price,Product URL
Men,Tony Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/tony-slim-fit-erkek-pantolon-12696
Women,Relax Fit Kadın Pantolon 2,"299,90",https://www.loft.com.tr/p/relax-fit-kadin-pantolon-14470
Women,Relax Fit Kadın Pantolon 2,"299,90",https://www.loft.com.tr/p/relax-fit-kadin-pantolon-14432
Women,Relax Fit Kadın Pantolon 2,"299,90",https://www.loft.com.tr/p/relax-fit-kadin-pantolon-14504
Men,Ricardo Slim Fit Erkek Pantolon 2,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-14669
Men,Ricardo Slim Fit Erkek Pantolon 2,"799,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-13581
Men,Ricardo Slim Fit Erkek Pantolon 2,"599,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-2633
Men,Ricardo Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-14331
Men,Terrybrown Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/terrybrown-slim-fit-erkek-pantolon-10259
Men,Tony Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/tony-slim-fit-erkek-pantolon-10620
Men,Ricardo Slim Fit Erkek Pantolon 2,"499,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-12362
Men,Justin Skinny Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/justin-skinny-fit-erkek-pantolon-4661
Men,Ricardo Slim Fit Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-10372
Men,68 Simon High Rise Erkek Pantolon 1,"999,90",https://www.loft.com.tr/p/68-simon-high-rise-erkek-pantolon-14001
Women,Mom Slim Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/mom-slim-fit-kadin-pantolon-10624
Women,Mom Slim Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/mom-slim-fit-kadin-pantolon-13312
Women,Mom Slim Fit Kadın Pantolon 1,"799,90",https://www.loft.com.tr/p/mom-slim-fit-kadin-pantolon-13311
Men,Terrybrown Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/terrybrown-slim-fit-erkek-pantolon-13526
Men,Regular Fit Erkek Pantolon 1,"799,90",https://www.loft.com.tr/p/regular-fit-erkek-pantolon-13391
Men,Ricardo Slim Fit Erkek Pantolon 2,"199,90",https://www.loft.com.tr/p/ricardo-slim-fit-erkek-pantolon-13328
