id,sku,name,brand,category,regular_price,shown_price,discount_rate,unit,status
14721,14721,Bosch Bir Arada Ayar Başlı Nozül 3'lü,Bosch Aksesuar ve El Aletleri,Basınçlı Yıkama Makineleri,1097.25,987.52,10.0,PIECE,IN_SALE
14719,14719,BOSCH Boru Kanal Temizleyici 10 m (130 bar),Bosch Aksesuar ve El Aletleri,Bahçe,1443.75,1299.38,10.0,PIECE,IN_SALE
14588,14588,Fiskars 1000581 Powergear Anvial Dal Kesme S,Fiskars,Budama Makasları,1681.05,1499.0,10.83,PIECE,IN_SALE
14587,14587,Fiskars 1069101 Parçalama Baltası X13,Fiskars,Bahçe,2286.9,1929.0,15.65,PIECE,IN_SALE
15687,15687,Prosaw PS51219 Sunta Kesme 210x30/25 mm 16 Diş,Diğer,Daire Testereler,657.3,366.0,44.32,PIECE,IN_SALE
15645,15645,Tamir Bandı 48x40 mt,Diğer,Bantlar,168.0,155.0,7.74,PIECE,IN_SALE
15420,15420,Bosch Taşlama Siperi Kapaksız Vidalı 115 mm,Bosch Aksesuar ve El Aletleri,Kesme ve Taşlama Diskleri,519.75,467.78,10.0,PIECE,IN_SALE
15000,15000,BOSCH PRO MultiMaterial Delik Açma Testeresi 17mm,Bosch Aksesuar ve El Aletleri,Pançlar,554.4,498.96,10.0,PIECE,IN_SALE
14995,14995,Bosch C470 Zımpara Kağıdı Rulosu 115mm x 5m P240,Bosch Aksesuar ve El Aletleri,Aksesuarlar,364.35,327.92,10.0,PIECE,IN_SALE
14916,14916,BOSCH Çok Renkli Kalem Uçları 6 Parça,Bosch Aksesuar ve El Aletleri,Çok Amaçlı Setler,219.45,197.5,10.0,PIECE,IN_SALE
14576,14576,"BOSCH HSS-Co Metal Matkap Ucu 6,5*101 mm 1li",Bosch Aksesuarlar,Aksesuarlar,225.75,203.18,10.0,PIECE,IN_SALE
14325,14325,"Bosch Exst Daire Testere Bıçak 235x25,40 mm 48 D E",Bosch Aksesuar ve El Aletleri,Daire Testereler,3696.0,2700.0,26.95,PIECE,IN_SALE
13776,13776,Bosch Expert Yaprak Matkap Ucu HEX 10x400 mm,Bosch Aksesuarlar,Aksesuarlar,346.5,311.85,10.0,PIECE,IN_SALE
13588,13588,"Bosch HSSPointTeQ Metal Matkap Ucu 9,5mm",Bosch Aksesuarlar,Aksesuarlar,138.6,124.74,10.0,PIECE,IN_SALE
13587,13587,Bosch Ahşap Matkap Uç Expert SCS Yaprak HEX 18x152 mm,Bosch Aksesuarlar,Aksesuarlar,177.45,159.71,10.0,PIECE,IN_SALE
13586,13586,Bosch Polisaj Süngeri EasyCurvSander 40 mm,Bosch Aksesuarlar,Polisaj Makine ve Aksesuarları,265.65,239.08,10.0,PIECE,IN_SALE
13575,13575,"Bosch Metal Matkap Ucu HSS-Co DIN 338 7,5x109 mm",Bosch Aksesuarlar,Aksesuarlar,262.5,234.36,10.72,PIECE,IN_SALE
13468,13468,Bosch SDS Plus-1 22x460mm,Bosch Aksesuarlar,Beton Delici Uçlar,777.0,478.17,38.46,PIECE,IN_SALE
13466,13466,Bosch PC-Plus Delik Açma Testeresi 22mm,Bosch Aksesuarlar,Aksesuarlar,376.95,339.25,10.0,PIECE,IN_SALE
13448,13448,Bosch X-Line Taş ve Duvar Matkap Ucu 7 Parça,Bosch Aksesuar ve El Aletleri,Aksesuarlar,265.65,239.08,10.0,PIECE,IN_SALE
13440,13440,Bosch CYL-3 Beton Delme 16x160 mm,Bosch Aksesuarlar,Beton Delici Uçlar,727.65,654.88,10.0,PIECE,IN_SALE
13374,13374,Bosch Tornavida Ucu Takımı 32pc EH SD Set DIY,Bosch Aksesuarlar,Tornavida Setleri,719.25,648.27,9.87,PIECE,IN_SALE
13338,13338,Bosch X-line 7 Parça Mini Ahşap Matkap Ucu Set,Bosch Aksesuar ve El Aletleri,Aksesuarlar,265.65,239.08,10.0,PIECE,IN_SALE
13322,13322,"Bosch Titreşimli Zımpara Kağıdı 10'lu, 93 x 185 Mm 180 Kum 8 Delik",Bosch Aksesuarlar,Zımpara Uçları,246.75,222.08,10.0,PIECE,IN_SALE
13282,13282,"Makita D-29227 Geniş Keski 28,6x75x410 mm",Makita,Keskiler,2065.35,1099.0,46.79,PIECE,IN_SALE
13158,13158,Bosch ExtraHard Vidalama Ucu PH1x89 mm 3'lü,Bosch Aksesuarlar,Aksesuarlar,115.5,99.22,14.1,PIECE,IN_SALE
13107,13107,Bosch Taşlama Siperi Kapaksız Vidasız 115mm v1,Bosch Aksesuarlar,Kesme ve Taşlama Diskleri,149.1,134.19,10.0,PIECE,IN_SALE
