product_name,price,id,sku,brand,category,regular_price,discount_rate,unit,status
Bosch Gsr 18v-50 Akülü Delme Vidalama (Solo),5079.0,16146,16146,Bosch,Şarjlı Vidalama,6600.0,23.05,PIECE,IN_SALE
Bosch GSR 120-LI Vidalama (2x2.0 Ah; Plastik),5199.0,12966,12966,Bosch,Şarjlı Vidalama,6050.0,14.07,PIECE,IN_SALE
Akfix 705 Hızlı Yapıştırıcı 200 ml,89.9,5182,5182,Akfix,Yapıştırıcılar,110.0,18.27,PIECE,IN_SALE
Bosch Universal Denetim Kamerası,6435.0,12403,12403,Bosch Hafif Hizmet,Diğer Akülü El Aletleri,6435.0,0.0,PIECE,IN_SALE
Bosch Easy Pump Akülü Hava Kompresörü,3630.0,0603947000,0603947000,Bosch Hafif Hizmet,Akülü Hava Kompresörleri,3630.0,0.0,PIECE,IN_SALE
Bosch UniversalBrush Yüzey Temizleme,2693.9,temizleme,temizleme,Bosch,IXO ve Aksesuarları,2693.9,0.0,PIECE,IN_SALE
Bosch IXO BBQ Mangal Üfleme Aparatı,1089.0,1600a001yc,1600a001yc,Bosch Hafif Hizmet,IXO ve Aksesuarları,1089.0,0.0,PIECE,IN_SALE
Bosch IXO V Akülü Vidalama,2359.5,06039a8000,06039a8000,Bosch Hafif Hizmet,IXO ve Aksesuarları,2359.5,0.0,PIECE,IN_SALE
Bosch Ixo Tirbüşon Aparatı,992.2,1600a001yd,1600a001yd,Bosch Hafif Hizmet,IXO ve Aksesuarları,992.2,0.0,PIECE,IN_SALE
CATPOWER 1580 KÖMÜRSÜZ AKÜLÜ 4 LÜ SET (3 Adet 20V 4.0 Ah Li-ion Akü),15950.0,16372,16372,Catpower,Akülü El Aletleri,15950.0,0.0,PIECE,IN_SALE
Bosch PRO 18V 3 Makine Seti: GSR+GWS+GBH+3x4.0Ah+GAL 18V-40,30800.0,16179,16179,Bosch,Şarjlı Vidalama,30800.0,0.0,PIECE,IN_SALE
Bosch GSR 18V-65 Akülü Delme Vidalama 2x5.0Ah,18700.0,16159,16159,Bosch,Şarjlı Vidalama,18700.0,0.0,PIECE,IN_SALE
Bosch GBH 18V-36C SDS Max Akülü Delici Solo (Akü ve Sarj Cihazı Dahil Değildir),27889.0,15889,15889,Bosch,Şarjlı Kırıcı ve Deliciler,34100.0,18.21,PIECE,IN_SALE
Bosch GBA 12V 2.0 ah Akü,2310.0,15985,15985,Bosch,Akü ve Şarj Cihazları,2310.0,0.0,PIECE,IN_SALE
"Bosch GBA 18V Batarya 5,0 ah",4400.0,14568,14568,Bosch Aksesuarlar,Akü ve Şarj Cihazları,4400.0,0.0,PIECE,IN_SALE
BOSCH KOMBİ SETİ 18V GSB+GBH+GWS+3X4.0AH+GAL,33000.0,12794,12794,Bosch,Akülü El Aletleri,33000.0,0.0,PIECE,IN_SALE
Bosch GSB 18V-65 Akülü Darbeli Delme Vidalama 2x5ah,19250.0,13361,13361,Bosch,Şarjlı Darbeli Matkap,19250.0,0.0,PIECE,IN_SALE
Bosch GSB 183-LI Akülü Darbeli Matkap 1x2ah,5498.9,13350,13350,Bosch,Şarjlı Darbeli Matkap,5498.9,0.0,PIECE,IN_SALE
Bosch Gsr 18v-50 Akülü Delme Vidalama 1x2Ah-5Ah,14520.0,12711,12711,Bosch,Şarjlı Darbeli Matkap,14520.0,0.0,PIECE,IN_SALE
Bosch GSB 185-LI Akülü Darbeli Delme Vidalama 2x2.0Ah,9196.0,11773,11773,Bosch,Şarjlı Darbeli Matkap,9196.0,0.0,PIECE,IN_SALE
Bosch Gsb 18v-50 Darbeli Matkap 5 Amper,18150.0,11518,11518,Bosch,Şarjlı Darbeli Matkap,18150.0,0.0,PIECE,IN_SALE
Bosch GSB 18V-50 Akülü Darbeli Matkap (Solo),6050.0,6763,6763,Bosch,Şarjlı Darbeli Matkap,6050.0,0.0,PIECE,IN_SALE
Bosch GSB 120-LI Darbeli Vidalama (2x2 Ah),6655.0,06019g8100,06019g8100,Bosch,Şarjlı Darbeli Matkap,6655.0,0.0,PIECE,IN_SALE
Bosch Gbh 180 LI + Gws 180 LI + Gdx 180 LI +2x5.0 ah,30250.0,12621,12621,Bosch,Şarjlı Vidalama,30250.0,0.0,PIECE,IN_SALE
Bosch GDX 180-LI Akülü Somun Sıkma (Solo),5445.0,11909,11909,Bosch,Şarjlı Somun Sıkma,5445.0,0.0,PIECE,IN_SALE
Rtrmax RTX2028-X Lion Akülü Somun Sıkma 4 ah,10981.3,11520,11520,Rtrmax,Şarjlı Somun Sıkma,10981.3,0.0,PIECE,IN_SALE
Bosch  GDS 18V-450 PC Darbeli Somun Sıkma(Solo),14338.5,11467,11467,Bosch,Şarjlı Somun Sıkma,14338.5,0.0,PIECE,IN_SALE
Bosch Gds 18V-1000 Akülü Somun Sıkma Solo (AKÜ VE ŞARJ CİHAZI DAHİL DEĞİLDİR),17600.0,solo,solo,Bosch,Şarjlı Somun Sıkma,17600.0,0.0,PIECE,IN_SALE
