kategori,urun_id,barcode,urun_ismi,fiyat
ust-giyim,ADX-0003558813,6000002132413,BOYUNDAN GEÇMELİ BÜSTİYER B0559,"149,50 TL"
ust-giyim,ADX-00035497Z51,6000002111418,BASİC KALIN T-SHİRT P10493-W7,"359,50 TL"
ust-giyim,ADX-0003552402,6000002113764,KETEN KARIŞIMLI ASKILI BLUZ A17416,"349,50 TL"
ust-giyim,ADX-0003533302,6000002095756,KAYIK YAKA BASİC T-SHİRT P1792,"229,50 TL"
ust-giyim,ADX-0003538432,6000002125118,V YAKA BASİC T-SHİRT P4380-D10,"329,50 TL"
ust-giyim,ADX-00034741K78,6000002084996,BOYUNDAN BAĞLAMALI PÖTİKARELİ BÜSTİYER B17294,"299,50 TL"
ust-giyim,ADX-00035333Z52,6000002095817,KAYIK YAKA BASİC T-SHİRT P1792,"229,50 TL"
ust-giyim,ADX-00035752221,6000002131409,MODAL ALT-ÜST İKİLİ TAKIM TKM13985,"1.199,50 TL"
ust-giyim,ADX-00032772Z52,6000002110107,KARE YAKA ATLET A1560-W13,"279,50 TL"
ust-giyim,ADX-00033759B02,6000002119551,HALTER YAKA ATLET A1669-H2,"219,50 TL"
ust-giyim,ADX-0003566903,6000002124487,BİSİKLET YAKA MODAL BASİC T-SHİRT P0365,"299,50 TL"
ust-giyim,ADX-0003455204,6000002122285,OVERSİZE ÇİZGİLİ GÖMLEK G2021-Y13,"429,50 TL"
ust-giyim,ADX-0003575213,6000002131379,MODAL ALT-ÜST İKİLİ TAKIM TKM13985,"1.199,50 TL"
ust-giyim,ADX-00035416Z51,6000002102447,KAYIK YAKA BASKILI T-SHİRT P1798,"329,50 TL"
ust-giyim,ADX-0003575232,6000002131461,MODAL ALT-ÜST İKİLİ TAKIM TKM13985,"1.199,50 TL"
ust-giyim,ADX-00034741Z55,6000002068675,BOYUNDAN BAĞLAMALI PÖTİKARELİ BÜSTİYER B17294,"299,50 TL"
ust-giyim,ADX-00035753B46,6000002131614,BİSİKLET YAKA UZUN ELBİSE E13986,"799,50 TL"
ust-giyim,ADX-00035753447,6000002131584,BİSİKLET YAKA UZUN ELBİSE E13986,"799,50 TL"
ust-giyim,ADX-00035753168,6000002131553,BİSİKLET YAKA UZUN ELBİSE E13986,"799,50 TL"
ust-giyim,ADX-0003515304,6000002079350,BASİC T-SHİRT P17867-İ9,"319,50 TL"
ust-giyim,ADX-00035333Z55,6000002095848,KAYIK YAKA BASİC T-SHİRT P1792,"229,50 TL"
ust-giyim,ADX-0003533602,6000002095961,KAYIK YAKA BASKILI T-SHİRT P1794,"329,50 TL"
ust-giyim,ADX-00035337536,6000002095992,KAYIK YAKA BASKILI T-SHİRT P1793,"299,50 TL"
ust-giyim,ADX-0003529228,6000002091871,KAYIK YAKA BASKILI T-SHİRT P1788,"329,50 TL"
ust-giyim,ADX-00035333536,6000002095787,KAYIK YAKA BASİC T-SHİRT P1792,"229,50 TL"
ust-giyim,ADX-0003533303,6000002095879,KAYIK YAKA BASİC T-SHİRT P1792,"229,50 TL"
ust-giyim,ADX-0003169504,6000002098009,HALTER YAKA ATLET A13444-L12,"229,50 TL"
ust-giyim,ADX-0003575303,6000002131522,BİSİKLET YAKA UZUN ELBİSE E13986,"799,50 TL"
ust-giyim,ADX-00035527K78,6000002114228,SIRT DEKOLTELİ DOKULU BLUZ B18510,"349,50 TL"
ust-giyim,ADX-00035527B02,6000002114198,SIRT DEKOLTELİ DOKULU BLUZ B18510,"349,50 TL"
ust-giyim,ADX-0003552703,6000002114112,SIRT DEKOLTELİ DOKULU BLUZ B18510,"349,50 TL"
ust-giyim,ADX-00035308168,6000002126016,U YAKA ATLET A17165-N8,"399,50 TL"
ust-giyim,ADX-00030804Z51,6000002112408,BİSİKLET YAKA BASİC T-SHİRT P13343-U6,"249,50 TL"
ust-giyim,ADX-00035472B02,6000002108951,BİSİKLET YAKA BASKILI T-SHİRT P10485-L5,"329,50 TL"
ust-giyim,ADX-0003544211,6000002105455,ÇİFT CEPLİ KISA KOLLU GÖMLEK G2110-Y8,"299,50 TL"
ust-giyim,ADX-00035417K78,6000002125538,BOYUNDAN BAĞLAMALI DOKULU BLUZ B0541-W12,"349,50 TL"
ust-giyim,ADX-0003544202,6000002105363,ÇİFT CEPLİ KISA KOLLU GÖMLEK G2110-Y8,"299,50 TL"
ust-giyim,ADX-0003555311,6000002116475,BAĞLAMA DETAYLI GÖMLEK G2480,"799,50 TL"
ust-giyim,ADX-0003555302,6000002116390,BAĞLAMA DETAYLI GÖMLEK G2480,"799,50 TL"
ust-giyim,ADX-0003450104,6000002087584,KISA KOLLU MODAL T-SHİRT P4298-S7,"219,50 TL"
ust-giyim,ADX-0003541703,6000002102478,BOYUNDAN BAĞLAMALI DOKULU BLUZ B0541-W12,"349,50 TL"
ust-giyim,ADX-0003549702,6000002111302,BASİC KALIN T-SHİRT P10493-W7,"359,50 TL"
ust-giyim,ADX-0003555313,6000002116512,BAĞLAMA DETAYLI GÖMLEK G2480,"799,50 TL"
ust-giyim,ADX-00035417Z55,6000002102591,BOYUNDAN BAĞLAMALI DOKULU BLUZ B0541-W12,"349,50 TL"
ust-giyim,ADX-0003527403,6000002090317,DANTELLİ İP ASKILI MİNİ ELBİSE E17431,"299,50 TL"
ust-giyim,ADX-0003533502,6000002095930,BASKILI ATLET P1796-DK10,"149,50 TL"
ust-giyim,ADX-00035224K78,6000002116833,PÖTİKARE DESENLİ DÜĞMELİ BLUZ A17282-S1,"299,50 TL"
ust-giyim,ADX-00034831Z51,6000002114907,DESENLİ CROP BLUZ P17227-A9,"99,50 TL"
ust-giyim,ADX-0003544204,6000002105394,ÇİFT CEPLİ KISA KOLLU GÖMLEK G2110-Y8,"299,50 TL"
ust-giyim,ADX-0003474528,6000002098603,KETEN KARIŞIMLI ASKILI BLUZ A17134,"449,50 TL"
ust-giyim,ADX-0003555301,6000002116352,BAĞLAMA DETAYLI GÖMLEK G2480,"799,50 TL"
ust-giyim,ADX-00035650K110,6000002122612,AYARLANABİLİR ASKILI ÇİZGİLİ BLUZ A17435,"329,50 TL"
ust-giyim,ADX-0003565001,6000002122582,AYARLANABİLİR ASKILI ÇİZGİLİ BLUZ A17435,"329,50 TL"
ust-giyim,ADX-00035415B02,6000002102416,BASKILI KAYIK YAKA T-SHİRT P1799,"299,50 TL"
ust-giyim,ADX-0003549703,6000002111333,BASİC KALIN T-SHİRT P10493-W7,"359,50 TL"
ust-giyim,ADX-00035417B02,6000002102508,BOYUNDAN BAĞLAMALI DOKULU BLUZ B0541-W12,"349,50 TL"
